# Daily SST for one grid cell of blended5km, written by backfill_point_history.py
# cell_lat: 48.82500076293945
# cell_lon: -125.2750015258789
# lat_range: 48.80000114440918,48.85000038146973
# lon_range: -125.29999923706055,-125.25
# stations: Folger Deep (48.81376,-125.28078,96.5m); Folger Pinnacle (48.80829,-125.2815,23.0m)
# stride_days: 7  -- backfill is weekly; see the module docstring
date,sst_c
2025-08-26,15.939993858337402
2025-09-02,16.54999351501465
2025-09-09,15.219993591308594
2025-09-16,14.249994277954102
2025-09-23,13.539994239807127
2025-09-30,12.429993629455566
2025-10-07,13.239994049072266
2025-10-14,11.599993705749512
2025-10-21,11.039994239807127
2025-10-28,11.049993515014648
2025-11-04,11.209994316101074
2025-11-11,10.709994316101074
2025-11-18,10.609993934631348
2025-11-25,10.109993934631348
2025-12-02,9.949994087219238
2025-12-09,9.849993705749512
2025-12-16,10.349993705749512
2025-12-23,10.089993476867676
2025-12-30,9.299993515014648
2026-01-06,9.099993705749512
2026-01-13,9.129993438720703
2026-01-20,8.199994087219238
2026-01-27,8.169994354248047
2026-02-03,8.179993629455566
2026-02-10,8.759993553161621
2026-02-17,8.129993438720703
2026-02-24,8.429993629455566
2026-03-03,8.589993476867676
2026-03-10,8.949994087219238
2026-03-17,8.829994201660156
2026-03-24,8.719993591308594
2026-03-31,8.999994277954102
2026-04-07,9.799993515014648
2026-04-14,10.349993705749512
2026-04-21,10.63999366760254
2026-04-28,11.919994354248049
2026-05-05,14.00999355316162
2026-05-12,13.099993705749512
2026-05-19,12.399993896484377
2026-05-26,12.079994201660156
2026-06-02,12.909994125366213
2026-06-09,12.669994354248049
2026-06-16,13.909994125366213
2026-06-23,14.179993629455566
2026-06-30,13.529994010925291
2026-07-07,13.999994277954102
2026-07-14,14.329994201660156
2026-07-21,14.049993515014648
2026-07-22,14.50999355316162
2026-07-29,13.709994316101074
2026-08-05,16.259994506835938
2026-08-12,15.669994354248049
2026-08-19,15.25
2026-08-20,15.52
2026-08-21,15.93
2026-08-22,16.11
2026-08-23,15.68
2026-08-24,15.68
2026-08-25,16.39
2026-08-26,15.55
