yearday,mean,sd,n,n_years,p05,p10,p25,p50,p75,p90,p95,lo1,hi1,lo2,hi2
70,8.4321,0.8798,4617,13,7.2878,7.4919,7.7756,8.197,9.0245,9.8428,10.1588,7.5523,9.312,6.6724,10.1918
71,8.4469,0.8672,4617,13,7.3451,7.5209,7.7987,8.2183,9.0059,9.8683,10.1514,7.5797,9.314,6.7126,10.1812
72,8.4596,0.8524,4626,13,7.3666,7.5551,7.8168,8.2329,9.002,9.8848,10.1546,7.6072,9.312,6.7548,10.1644
73,8.4692,0.8359,4626,13,7.3826,7.5869,7.8421,8.253,8.9619,9.8714,10.1273,7.6333,9.305,6.7974,10.1409
74,8.4742,0.8183,4622,13,7.4526,7.6455,7.8556,8.2675,8.9552,9.8481,10.0852,7.656,9.2925,6.8377,10.1108
75,8.4756,0.7989,4598,13,7.496,7.6603,7.8671,8.2727,8.9491,9.8353,10.0553,7.6766,9.2745,6.8777,10.0734
76,8.4762,0.7793,4574,13,7.5158,7.6607,7.8721,8.2749,8.9447,9.8152,10.0217,7.6969,9.2555,6.9176,10.0347
77,8.4764,0.761,4552,13,7.5314,7.6645,7.8791,8.281,8.9455,9.7925,10.0002,7.7153,9.2374,6.9543,9.9984
78,8.4771,0.7435,4528,13,7.5623,7.6796,7.8871,8.2859,8.9535,9.749,9.9907,7.7336,9.2206,6.99,9.9641
79,8.4782,0.7264,4504,13,7.5996,7.7009,7.891,8.3039,8.9544,9.7155,9.986,7.7518,9.2046,7.0255,9.931
80,8.4801,0.7111,4480,13,7.633,7.7195,7.8946,8.312,8.9535,9.6811,9.9771,7.769,9.1912,7.058,9.9022
81,8.4817,0.6974,4452,13,7.6579,7.7342,7.9025,8.3127,8.9432,9.5926,9.9434,7.7843,9.1791,7.087,9.8765
82,8.4841,0.686,4428,13,7.673,7.7416,7.9158,8.3127,8.9158,9.5621,9.9441,7.7981,9.1701,7.112,9.8562
83,8.4871,0.6758,4404,13,7.6962,7.7539,7.9238,8.3111,8.9111,9.5512,9.9295,7.8113,9.163,7.1354,9.8388
84,8.4901,0.6673,4363,13,7.7028,7.7588,7.9341,8.3115,8.9175,9.5661,9.9111,7.8227,9.1574,7.1554,9.8247
85,8.4921,0.6589,4317,13,7.6862,7.7571,7.9452,8.3247,8.9445,9.5137,9.8353,7.8332,9.151,7.1742,9.8099
86,8.4945,0.6525,4269,13,7.6755,7.75,7.9468,8.3318,8.9535,9.4682,9.7745,7.842,9.147,7.1896,9.7995
87,8.4974,0.647,4229,12,7.6688,7.7438,7.9521,8.3432,8.9556,9.4591,9.7125,7.8504,9.1445,7.2033,9.7915
88,8.5025,0.644,4201,12,7.6702,7.7444,7.9547,8.3511,8.9689,9.4636,9.6945,7.8585,9.1465,7.2145,9.7904
89,8.5123,0.6428,4168,12,7.6791,7.75,7.9671,8.3655,8.9612,9.4866,9.7079,7.8695,9.1552,7.2267,9.798
90,8.5264,0.6436,4098,12,7.7092,7.7577,7.9915,8.3853,8.9783,9.4986,9.7363,7.8828,9.1699,7.2392,9.8135
91,8.5424,0.6444,4056,12,7.7185,7.7636,8.0181,8.4069,9.0057,9.5037,9.7462,7.898,9.1868,7.2537,9.8311
92,8.56,0.6453,4024,12,7.7253,7.7728,8.03,8.4217,9.0151,9.5115,9.7509,7.9147,9.2054,7.2694,9.8507
93,8.5778,0.6473,4000,12,7.7289,7.7755,8.0509,8.4335,9.0146,9.5363,9.7557,7.9305,9.2251,7.2832,9.8724
94,8.5945,0.65,3981,13,7.7329,7.7901,8.0792,8.4454,9.0244,9.5751,9.7651,7.9445,9.2445,7.2946,9.8945
95,8.6108,0.6538,3978,13,7.7361,7.8083,8.0949,8.4627,9.0455,9.6169,9.7827,7.957,9.2646,7.3032,9.9184
96,8.6267,0.6584,3979,13,7.7376,7.8425,8.1163,8.4711,9.0626,9.6415,9.815,7.9683,9.2852,7.3099,9.9436
97,8.6415,0.663,3970,13,7.7407,7.8656,8.1318,8.478,9.0921,9.6647,9.8722,7.9785,9.3045,7.3156,9.9675
98,8.6547,0.6674,3946,13,7.7436,7.8933,8.1489,8.4792,9.1832,9.688,9.913,7.9873,9.3222,7.3199,9.9896
99,8.6695,0.6715,3939,13,7.7471,7.9152,8.1585,8.4818,9.2134,9.7088,9.9245,7.998,9.341,7.3264,10.0126
100,8.6843,0.6743,3937,12,7.768,7.9389,8.1587,8.4821,9.2264,9.7346,9.9428,8.01,9.3586,7.3357,10.0329
101,8.699,0.675,3960,12,7.8384,7.9731,8.1768,8.4988,9.2382,9.7684,9.9862,8.0241,9.374,7.3491,10.0489
102,8.7169,0.6776,3975,12,7.8927,8.0065,8.1928,8.5163,9.23,9.7775,9.9979,8.0393,9.3945,7.3616,10.0721
103,8.7363,0.6817,3970,12,7.9243,8.0322,8.2069,8.5335,9.2303,9.7812,10.003,8.0546,9.418,7.3729,10.0997
104,8.7537,0.6857,3977,12,7.9402,8.0489,8.2215,8.5615,9.2515,9.8244,10.0431,8.068,9.4394,7.3822,10.1252
105,8.7709,0.6889,4047,12,7.9507,8.057,8.2317,8.5738,9.2594,9.8621,10.0865,8.082,9.4598,7.3931,10.1487
106,8.7882,0.691,4082,12,7.957,8.0625,8.2421,8.5899,9.2606,9.8767,10.1004,8.0972,9.4792,7.4063,10.1701
107,8.8027,0.6884,4113,12,7.9684,8.072,8.253,8.6279,9.2479,9.8759,10.1,8.1144,9.4911,7.426,10.1795
108,8.8161,0.6804,4137,12,7.9873,8.0796,8.2704,8.6521,9.2383,9.8648,10.0771,8.1357,9.4965,7.4553,10.1769
109,8.8302,0.6697,4156,12,8.0048,8.0915,8.294,8.6706,9.2426,9.8447,10.0576,8.1606,9.4999,7.4909,10.1695
110,8.8443,0.6578,4159,12,8.0189,8.1163,8.3221,8.6871,9.2386,9.8295,10.0528,8.1865,9.5021,7.5287,10.1599
111,8.859,0.6466,4162,12,8.0345,8.1336,8.3476,8.7227,9.2389,9.8272,10.0514,8.2124,9.5056,7.5657,10.1523
112,8.8729,0.6366,4171,12,8.0435,8.1524,8.3802,8.7605,9.2293,9.8135,10.0304,8.2362,9.5095,7.5996,10.1461
113,8.8864,0.6288,4195,12,8.0446,8.1623,8.4134,8.7894,9.2343,9.8003,10.0378,8.2576,9.5152,7.6289,10.144
114,8.8986,0.623,4219,12,8.0424,8.1716,8.4427,8.8098,9.2409,9.7907,10.0373,8.2755,9.5216,7.6525,10.1446
115,8.9109,0.6201,4243,12,8.0278,8.1823,8.4713,8.8261,9.2483,9.7835,10.0514,8.2908,9.531,7.6706,10.1511
116,8.9239,0.621,4244,12,8.0178,8.1888,8.4945,8.8455,9.2592,9.7926,10.048,8.3029,9.5449,7.6819,10.1659
117,8.9362,0.6216,4251,12,7.9967,8.2058,8.519,8.8583,9.2912,9.8015,10.0556,8.3147,9.5578,7.6931,10.1793
118,8.9469,0.6187,4284,12,7.9903,8.2207,8.5402,8.8705,9.3163,9.811,10.1152,8.3282,9.5656,7.7095,10.1843
119,8.9578,0.6146,4298,12,8.0041,8.2366,8.5503,8.8805,9.3346,9.7907,10.0881,8.3432,9.5724,7.7287,10.187
120,8.9674,0.6102,4287,12,8.0204,8.2476,8.5626,8.9016,9.3292,9.7577,10.0082,8.3572,9.5776,7.747,10.1878
121,8.9734,0.6044,4293,12,8.0427,8.2645,8.5773,8.92,9.3374,9.7488,9.9771,8.369,9.5778,7.7646,10.1822
122,8.9778,0.5999,4294,12,8.0654,8.2692,8.5824,8.9267,9.3543,9.7501,9.9802,8.3778,9.5777,7.7779,10.1777
123,8.9813,0.5988,4294,12,8.0864,8.2656,8.5721,8.9315,9.3682,9.7518,9.98,8.3825,9.5801,7.7836,10.1789
124,8.9824,0.598,4294,12,8.0898,8.2667,8.5625,8.9316,9.365,9.7459,9.9743,8.3844,9.5804,7.7864,10.1784
125,8.9825,0.5959,4294,12,8.0918,8.2744,8.5614,8.9343,9.3576,9.7364,9.9611,8.3866,9.5784,7.7906,10.1744
126,8.9851,0.5956,4279,12,8.0961,8.289,8.5667,8.9344,9.3497,9.7188,9.9439,8.3895,9.5807,7.7938,10.1763
127,8.9935,0.5988,4255,12,8.1414,8.3141,8.5704,8.9351,9.3507,9.7121,9.9422,8.3947,9.5923,7.796,10.1911
128,9.008,0.6063,4235,12,8.2104,8.3426,8.5687,8.924,9.3632,9.7196,10.0241,8.4016,9.6143,7.7953,10.2206
129,9.0274,0.6184,4235,12,8.2464,8.3678,8.5744,8.9365,9.3845,9.7645,10.159,8.4091,9.6458,7.7907,10.2642
130,9.0498,0.6322,4234,12,8.2685,8.3831,8.5831,8.9572,9.4139,9.8203,10.301,8.4176,9.682,7.7855,10.3141
131,9.0715,0.6431,4234,12,8.2855,8.3955,8.5925,8.9776,9.4258,9.8338,10.3931,8.4284,9.7146,7.7853,10.3576
132,9.0889,0.6504,4236,12,8.293,8.4018,8.6077,8.9968,9.4355,9.8388,10.4036,8.4386,9.7393,7.7882,10.3896
133,9.1022,0.6537,4235,12,8.3103,8.4073,8.6159,9.0085,9.4309,9.8388,10.4037,8.4485,9.7559,7.7948,10.4096
134,9.1116,0.6511,4243,12,8.3252,8.4164,8.6202,9.0178,9.4284,9.8396,10.4491,8.4605,9.7627,7.8095,10.4138
135,9.119,0.645,4251,12,8.3248,8.4293,8.6293,9.0338,9.4474,9.8526,10.4432,8.4741,9.764,7.8291,10.409
