yearday,mean,sd,n,n_years,p05,p10,p25,p50,p75,p90,p95,lo1,hi1,lo2,hi2
59,4.5325,0.1416,2274,7,4.305,4.3485,4.4354,4.5306,4.6251,4.7183,4.7827,4.3909,4.6742,4.2493,4.8158
60,4.5303,0.1379,2274,7,4.3093,4.3531,4.4353,4.5266,4.6189,4.7109,4.7764,4.3924,4.6681,4.2545,4.806
61,4.5284,0.1341,2274,7,4.3148,4.3573,4.4354,4.5255,4.6141,4.6983,4.7662,4.3943,4.6625,4.2602,4.7967
62,4.5264,0.1307,2274,7,4.3225,4.3618,4.4369,4.5261,4.6112,4.6847,4.7522,4.3957,4.6571,4.265,4.7878
63,4.525,0.1273,2274,7,4.322,4.3605,4.4383,4.5259,4.6081,4.6755,4.732,4.3977,4.6524,4.2704,4.7797
64,4.5245,0.1245,2271,7,4.323,4.3611,4.4377,4.5268,4.6072,4.6718,4.7228,4.4,4.649,4.2754,4.7735
65,4.524,0.1225,2289,7,4.33,4.364,4.4396,4.5278,4.6063,4.6706,4.7169,4.4015,4.6465,4.2791,4.7689
66,4.5235,0.1209,2307,7,4.3334,4.3689,4.4413,4.528,4.6059,4.6694,4.716,4.4026,4.6443,4.2818,4.7652
67,4.5223,0.1192,2301,7,4.3359,4.37,4.4428,4.5263,4.5998,4.6686,4.7181,4.4031,4.6416,4.2839,4.7608
68,4.5204,0.118,2319,7,4.3367,4.3717,4.4403,4.5213,4.5971,4.6657,4.7107,4.4024,4.6384,4.2845,4.7563
69,4.5179,0.1173,2337,7,4.3375,4.3719,4.4351,4.5167,4.5944,4.6634,4.7048,4.4006,4.6351,4.2833,4.7524
70,4.5153,0.1169,2355,7,4.336,4.3701,4.4312,4.5105,4.5903,4.6627,4.7036,4.3984,4.6321,4.2816,4.749
71,4.5132,0.117,2373,7,4.3355,4.3677,4.4276,4.5079,4.5883,4.6627,4.7023,4.3963,4.6302,4.2793,4.7472
72,4.5122,0.1174,2391,7,4.3327,4.3649,4.4255,4.5066,4.5904,4.6626,4.7024,4.3948,4.6297,4.2773,4.7471
73,4.5127,0.1183,2409,7,4.3278,4.3622,4.423,4.5063,4.5938,4.6642,4.7063,4.3944,4.631,4.2761,4.7493
74,4.5145,0.1193,2427,7,4.3275,4.3618,4.4231,4.5096,4.5956,4.6676,4.7076,4.3952,4.6337,4.2759,4.753
75,4.5166,0.1201,2445,7,4.3269,4.3628,4.4271,4.5156,4.6037,4.6717,4.71,4.3964,4.6367,4.2763,4.7568
76,4.5189,0.1204,2463,7,4.3289,4.3645,4.4324,4.5203,4.6085,4.6757,4.7124,4.3985,4.6394,4.2781,4.7598
77,4.5211,0.1204,2481,7,4.3279,4.3658,4.4342,4.5219,4.6108,4.6759,4.7124,4.4007,4.6415,4.2802,4.762
78,4.5225,0.1206,2499,7,4.331,4.3695,4.4371,4.5241,4.6115,4.6775,4.7129,4.4019,4.6431,4.2814,4.7637
79,4.5233,0.1211,2520,7,4.3306,4.37,4.4408,4.5233,4.6106,4.6755,4.712,4.4022,4.6444,4.2812,4.7655
80,4.5239,0.122,2520,7,4.324,4.3681,4.4407,4.5251,4.6137,4.6753,4.7124,4.4019,4.6459,4.2798,4.7679
81,4.5241,0.1236,2515,7,4.3186,4.365,4.4413,4.5287,4.6163,4.6758,4.7135,4.4004,4.6477,4.2768,4.7713
82,4.5241,0.1262,2515,7,4.3156,4.3609,4.4389,4.5293,4.6192,4.6797,4.7131,4.3979,4.6502,4.2717,4.7764
83,4.5242,0.1289,2515,7,4.3093,4.355,4.4376,4.5315,4.6215,4.6802,4.715,4.3953,4.6531,4.2664,4.7821
84,4.5246,0.132,2515,7,4.297,4.3462,4.4379,4.5337,4.6231,4.6813,4.7187,4.3926,4.6566,4.2606,4.7886
