yearday,mean,sd,n,n_years,p05,p10,p25,p50,p75,p90,p95,lo1,hi1,lo2,hi2
143,3.8914,0.1198,3667,11,3.6941,3.7305,3.8011,3.8963,3.9754,4.0428,4.0836,3.7716,4.0112,3.6517,4.1311
144,3.8903,0.1207,3681,11,3.6931,3.7275,3.7988,3.8973,3.9753,4.0425,4.0832,3.7697,4.011,3.649,4.1317
145,3.8895,0.1211,3673,11,3.6913,3.7264,3.7974,3.8982,3.9773,4.0449,4.087,3.7684,4.0106,3.6473,4.1317
146,3.8887,0.1212,3665,11,3.6893,3.7234,3.7967,3.8977,3.9749,4.0397,4.0812,3.7674,4.0099,3.6462,4.1312
147,3.8881,0.1214,3657,11,3.6872,3.7228,3.7982,3.8976,3.9729,4.037,4.0758,3.7667,4.0095,3.6453,4.1309
148,3.8874,0.1215,3649,11,3.6861,3.7224,3.7974,3.8964,3.973,4.0359,4.0739,3.766,4.0089,3.6445,4.1303
149,3.8871,0.1218,3644,11,3.6852,3.7232,3.7974,3.8964,3.9747,4.0378,4.0744,3.7653,4.009,3.6435,4.1308
150,3.8877,0.1227,3636,11,3.6832,3.7219,3.7962,3.8966,3.9768,4.0393,4.0774,3.765,4.0104,3.6422,4.1331
151,3.8893,0.1241,3630,11,3.6809,3.7207,3.7972,3.8948,3.9768,4.0419,4.0834,3.7652,4.0135,3.641,4.1376
152,3.892,0.1259,3621,11,3.6816,3.7228,3.7999,3.8948,3.979,4.045,4.0898,3.7661,4.0179,3.6402,4.1438
153,3.8957,0.1279,3613,11,3.6826,3.7253,3.8021,3.8978,3.9835,4.0519,4.1004,3.7678,4.0236,3.6399,4.1515
154,3.9003,0.1301,3610,11,3.6833,3.7273,3.8066,3.904,3.9893,4.0597,4.1124,3.7702,4.0305,3.6401,4.1606
155,3.9053,0.1321,3606,11,3.686,3.7308,3.8117,3.9065,3.9955,4.0701,4.1318,3.7732,4.0374,3.6411,4.1695
156,3.9106,0.1338,3598,10,3.6886,3.7349,3.8151,3.9098,4.0015,4.0794,4.1433,3.7768,4.0444,3.643,4.1782
157,3.9163,0.1355,3596,10,3.6915,3.7394,3.819,3.9136,4.0059,4.086,4.1501,3.7808,4.0518,3.6453,4.1873
158,3.9218,0.1363,3586,10,3.6992,3.7484,3.8258,3.9158,4.012,4.0977,4.1605,3.7855,4.0581,3.6492,4.1945
159,3.9268,0.1367,3585,10,3.708,3.7549,3.8315,3.9207,4.0191,4.1152,4.1744,3.7901,4.0635,3.6534,4.2001
160,3.9313,0.1369,3585,10,3.7142,3.763,3.8375,3.9244,4.0212,4.119,4.1733,3.7944,4.0683,3.6574,4.2052
161,3.9354,0.1368,3584,10,3.7181,3.7672,3.8391,3.9265,4.0237,4.121,4.1745,3.7986,4.0723,3.6617,4.2091
162,3.9388,0.136,3584,10,3.7239,3.7685,3.8398,3.9287,4.0252,4.123,4.1758,3.8028,4.0747,3.6668,4.2107
163,3.9421,0.1353,3584,10,3.7276,3.7713,3.8433,3.9352,4.0297,4.1254,4.1773,3.8067,4.0774,3.6714,4.2127
164,3.9455,0.1347,3585,10,3.73,3.7764,3.8511,3.9396,4.0341,4.125,4.178,3.8108,4.0803,3.676,4.215
165,3.9491,0.1343,3585,10,3.7393,3.7803,3.855,3.9429,4.0369,4.1274,4.1831,3.8148,4.0835,3.6805,4.2178
166,3.9521,0.1339,3585,10,3.7465,3.7838,3.8568,3.9476,4.0396,4.1318,4.188,3.8182,4.0861,3.6843,4.22
167,3.9543,0.1337,3581,10,3.7485,3.7858,3.8574,3.9504,4.043,4.1322,4.1929,3.8206,4.0881,3.6869,4.2218
168,3.9559,0.1333,3579,10,3.7466,3.786,3.8581,3.9533,4.0459,4.1313,4.1858,3.8226,4.0891,3.6893,4.2224
169,3.9571,0.1324,3579,10,3.7488,3.7873,3.8575,3.9538,4.0484,4.1314,4.1836,3.8246,4.0895,3.6922,4.2219
170,3.9583,0.1314,3579,10,3.7508,3.7894,3.8592,3.9547,4.0467,4.1297,4.1809,3.827,4.0897,3.6956,4.2211
171,3.9597,0.1304,3579,10,3.7524,3.7923,3.864,3.9557,4.0463,4.1291,4.177,3.8293,4.0901,3.6989,4.2204
172,3.961,0.1291,3581,10,3.7551,3.7953,3.8695,3.9591,4.0488,4.1306,4.1814,3.8319,4.0901,3.7027,4.2192
173,3.962,0.1283,3591,10,3.7553,3.796,3.8732,3.9619,4.0492,4.1286,4.1822,3.8337,4.0903,3.7054,4.2186
174,3.9629,0.1275,3592,10,3.7549,3.7976,3.8751,3.9628,4.0456,4.1259,4.1807,3.8354,4.0903,3.708,4.2178
