yearday,mean,sd,n,n_years,p05,p10,p25,p50,p75,p90,p95,lo1,hi1,lo2,hi2
68,3.7678,0.1055,4680,14,3.6029,3.6395,3.6957,3.765,3.8374,3.9045,3.9465,3.6623,3.8733,3.5569,3.9787
69,3.7695,0.1065,4681,14,3.5995,3.6375,3.6948,3.7653,3.8398,3.9074,3.9512,3.663,3.876,3.5565,3.9826
70,3.7709,0.1083,4681,14,3.5985,3.639,3.696,3.7663,3.8411,3.9104,3.9569,3.6626,3.8791,3.5543,3.9874
71,3.7717,0.1101,4683,14,3.5967,3.6372,3.6962,3.7674,3.8445,3.9142,3.9628,3.6617,3.8818,3.5516,3.9919
72,3.7725,0.1114,4683,14,3.5934,3.6349,3.6971,3.7699,3.8468,3.9181,3.9662,3.6611,3.8839,3.5497,3.9952
73,3.7731,0.1127,4683,14,3.5908,3.633,3.6952,3.7686,3.8471,3.9198,3.9666,3.6605,3.8858,3.5478,3.9985
74,3.7734,0.1136,4683,14,3.5914,3.6337,3.6953,3.7691,3.847,3.9193,3.9662,3.6598,3.8871,3.5462,4.0007
75,3.7735,0.1142,4683,14,3.5903,3.633,3.696,3.7697,3.8489,3.9227,3.9679,3.6593,3.8877,3.545,4.002
76,3.7739,0.1148,4683,14,3.5869,3.6314,3.6959,3.7703,3.849,3.9227,3.9675,3.6592,3.8887,3.5444,4.0034
77,3.775,0.1155,4686,14,3.5857,3.6318,3.6953,3.7702,3.8491,3.9233,3.9674,3.6595,3.8904,3.544,4.0059
78,3.7763,0.116,4683,14,3.5883,3.6332,3.6971,3.7704,3.8499,3.9264,3.9699,3.6602,3.8923,3.5442,4.0083
79,3.7782,0.1168,4683,14,3.5929,3.6348,3.6983,3.7738,3.8542,3.9317,3.9745,3.6614,3.895,3.5446,4.0118
80,3.7803,0.1177,4683,14,3.5964,3.6358,3.7007,3.7762,3.856,3.9347,3.9797,3.6627,3.898,3.545,4.0157
81,3.7822,0.1188,4678,14,3.5952,3.637,3.7029,3.7779,3.859,3.9383,3.9839,3.6634,3.901,3.5447,4.0197
82,3.7836,0.1199,4678,14,3.5957,3.6367,3.7028,3.7798,3.8624,3.9408,3.9863,3.6637,3.9035,3.5438,4.0234
83,3.7845,0.1212,4678,14,3.5919,3.6346,3.7011,3.7802,3.8642,3.9398,3.9863,3.6633,3.9056,3.5422,4.0268
84,3.7847,0.1222,4681,14,3.5894,3.6332,3.7012,3.782,3.8655,3.9405,3.9863,3.6625,3.9069,3.5404,4.029
85,3.7844,0.1231,4679,14,3.5863,3.6288,3.7015,3.7829,3.8661,3.9401,3.988,3.6613,3.9075,3.5382,4.0306
86,3.784,0.1238,4679,14,3.5845,3.6266,3.7007,3.7832,3.8661,3.9387,3.989,3.6603,3.9078,3.5365,4.0315
87,3.7834,0.1245,4679,14,3.5824,3.6252,3.699,3.7819,3.8663,3.9363,3.9864,3.659,3.9079,3.5345,4.0323
88,3.7828,0.1251,4679,14,3.5796,3.6238,3.6995,3.7825,3.8656,3.9361,3.9874,3.6577,3.9079,3.5325,4.033
89,3.7823,0.1257,4677,14,3.5769,3.6207,3.698,3.7835,3.8655,3.9363,3.9873,3.6566,3.908,3.5309,4.0337
90,3.7824,0.1264,4657,14,3.5751,3.6189,3.697,3.7833,3.8668,3.9378,3.9878,3.656,3.9088,3.5296,4.0352
91,3.7825,0.1271,4660,14,3.5765,3.6198,3.6971,3.7815,3.8666,3.9387,3.9894,3.6554,3.9096,3.5282,4.0367
