yearday,mean,sd,n,n_years,p05,p10,p25,p50,p75,p90,p95,lo1,hi1,lo2,hi2
70,9.1006,0.7593,3378,10,8.0523,8.1618,8.3978,8.9652,9.859,10.114,10.3366,8.3413,9.8599,7.5819,10.6193
71,9.0912,0.762,3400,10,8.0516,8.1646,8.3865,8.9588,9.8501,10.1165,10.368,8.3292,9.8532,7.5673,10.6152
72,9.0824,0.7639,3424,10,8.052,8.1621,8.378,8.9544,9.8405,10.1215,10.3907,8.3185,9.8463,7.5546,10.6103
73,9.0735,0.7656,3448,10,8.0538,8.1673,8.3632,8.9445,9.7977,10.1212,10.4456,8.3079,9.8391,7.5423,10.6047
74,9.0636,0.7663,3472,10,8.0552,8.1755,8.3451,8.9191,9.7245,10.1197,10.4522,8.2973,9.8299,7.5309,10.5963
75,9.053,0.7667,3491,10,8.0587,8.1719,8.3255,8.9155,9.6908,10.1177,10.4606,8.2863,9.8197,7.5195,10.5865
76,9.0413,0.7674,3491,10,8.0717,8.1762,8.3074,8.9071,9.6593,10.1177,10.4611,8.2739,9.8086,7.5066,10.576
77,9.0294,0.7679,3493,10,8.0831,8.1711,8.2964,8.8972,9.6541,10.1215,10.4638,8.2614,9.7973,7.4935,10.5652
78,9.0167,0.7679,3493,10,8.0969,8.1664,8.2918,8.8782,9.6456,10.1273,10.4669,8.2488,9.7845,7.4809,10.5524
79,9.0033,0.7684,3493,10,8.098,8.1623,8.2876,8.8667,9.638,10.1272,10.4699,8.2349,9.7717,7.4665,10.54
80,8.9888,0.7693,3495,10,8.0932,8.1585,8.2801,8.8546,9.6341,10.2877,10.4699,8.2195,9.7582,7.4502,10.5275
81,8.9749,0.7703,3495,10,8.0763,8.1474,8.2717,8.8475,9.632,10.2877,10.4686,8.2046,9.7453,7.4343,10.5156
82,8.961,0.7717,3495,10,8.0518,8.118,8.2619,8.8475,9.6307,10.2851,10.4665,8.1892,9.7327,7.4175,10.5045
83,8.9476,0.7737,3500,10,8.0147,8.1004,8.2576,8.8488,9.589,10.2836,10.4624,8.1739,9.7213,7.4002,10.4949
84,8.9346,0.7761,3501,10,7.9786,8.0712,8.2468,8.8285,9.424,10.2829,10.4586,8.1585,9.7107,7.3824,10.4868
85,8.9209,0.7789,3502,10,7.9618,8.0508,8.2375,8.8141,9.3705,10.2828,10.443,8.142,9.6998,7.363,10.4788
86,8.9052,0.7822,3504,10,7.9289,8.0066,8.2275,8.8,9.3332,10.2757,10.4232,8.123,9.6874,7.3408,10.4696
87,8.889,0.7859,3504,10,7.8871,7.9793,8.2146,8.7726,9.3146,10.2757,10.4034,8.1031,9.6749,7.3172,10.4608
88,8.8739,0.7893,3504,10,7.8647,7.9648,8.1901,8.7481,9.287,10.2757,10.3858,8.0845,9.6632,7.2952,10.4525
89,8.8592,0.7927,3502,10,7.8534,7.9544,8.1464,8.7437,9.2827,10.2758,10.3793,8.0666,9.6519,7.2739,10.4445
90,8.8473,0.7951,3481,10,7.8523,7.9508,8.1072,8.7485,9.2631,10.2825,10.3729,8.0523,9.6424,7.2572,10.4375
91,8.8385,0.7972,3481,10,7.8395,7.9342,8.0776,8.7401,9.256,10.2825,10.3667,8.0413,9.6357,7.2441,10.4328
92,8.8318,0.7991,3473,10,7.8348,7.9203,8.0666,8.7326,9.2513,10.2828,10.3613,8.0326,9.6309,7.2335,10.4301
93,8.8252,0.8013,3473,10,7.8232,7.8903,8.06,8.7294,9.2365,10.2828,10.3561,8.024,9.6265,7.2227,10.4278
94,8.8192,0.802,3473,10,7.8148,7.8691,8.0503,8.7304,9.2453,10.2806,10.3512,8.0172,9.6213,7.2152,10.4233
95,8.8131,0.8016,3473,10,7.8022,7.8588,8.0391,8.7269,9.2559,9.9813,10.3502,8.0115,9.6147,7.2099,10.4163
96,8.8068,0.7993,3477,10,7.7841,7.8535,8.0205,8.7266,9.2631,9.9529,10.3499,8.0075,9.6062,7.2082,10.4055
97,8.8,0.7944,3469,10,7.7593,7.8486,8.0098,8.7269,9.2799,9.9444,10.3497,8.0056,9.5943,7.2112,10.3887
98,8.7924,0.7873,3445,10,7.7517,7.845,7.9981,8.7331,9.2874,9.9098,10.3493,8.0051,9.5796,7.2179,10.3669
99,8.7837,0.7782,3423,10,7.7484,7.8418,7.9897,8.7549,9.2848,9.8567,10.3444,8.0055,9.562,7.2273,10.3402
100,8.7744,0.7679,3399,10,7.7452,7.8363,7.9853,8.8693,9.285,9.8048,10.3305,8.0065,9.5423,7.2386,10.3103
101,8.7641,0.7561,3398,10,7.7442,7.8346,7.9813,8.8702,9.2699,9.7682,10.3121,8.008,9.5202,7.2519,10.2762
102,8.752,0.7433,3398,10,7.7455,7.8287,7.9809,8.8316,9.2595,9.7467,10.1904,8.0088,9.4953,7.2655,10.2386
103,8.7374,0.73,3398,10,7.7447,7.822,7.9698,8.791,9.2528,9.7139,9.8649,8.0074,9.4674,7.2774,10.1974
104,8.7221,0.7168,3398,10,7.7397,7.7991,7.9607,8.7423,9.2392,9.5835,9.7969,8.0053,9.4389,7.2885,10.1557
105,8.7051,0.7035,3419,10,7.7333,7.78,7.9418,8.7092,9.2218,9.5139,9.7683,8.0017,9.4086,7.2982,10.1121
106,8.6874,0.6899,3417,10,7.7275,7.7731,7.9356,8.6866,9.2174,9.48,9.7467,7.9975,9.3773,7.3075,10.0673
107,8.6694,0.6755,3425,10,7.7218,7.7688,7.9229,8.6579,9.217,9.464,9.6858,7.9938,9.3449,7.3183,10.0204
108,8.6529,0.6607,3425,10,7.7189,7.7688,7.922,8.6458,9.2161,9.4468,9.5618,7.9922,9.3137,7.3315,9.9744
109,8.6368,0.6464,3425,10,7.7182,7.7688,7.9269,8.6332,9.2116,9.4283,9.5185,7.9905,9.2832,7.3441,9.9296
110,8.6212,0.6333,3425,10,7.714,7.7688,7.9298,8.6266,9.2042,9.4099,9.4918,7.9879,9.2546,7.3546,9.8879
111,8.6058,0.6222,3425,10,7.702,7.7689,7.9328,8.6186,9.1984,9.4055,9.4726,7.9836,9.2281,7.3614,9.8503
112,8.591,0.6139,3430,10,7.6951,7.7695,7.9338,8.6102,9.1881,9.4035,9.4696,7.9771,9.2049,7.3631,9.8189
113,8.5768,0.6074,3454,10,7.6943,7.7727,7.9386,8.5834,9.1782,9.4052,9.4721,7.9694,9.1842,7.362,9.7916
114,8.5636,0.6027,3470,10,7.6895,7.7726,7.9452,8.5644,9.1661,9.4091,9.473,7.9609,9.1663,7.3582,9.769
115,8.5516,0.5988,3493,10,7.6849,7.7761,7.9516,8.5456,9.1407,9.414,9.4809,7.9528,9.1503,7.3541,9.7491
116,8.541,0.5962,3494,10,7.6809,7.7735,7.9525,8.52,9.0557,9.4229,9.4925,7.9449,9.1372,7.3487,9.7333
117,8.5321,0.5946,3493,10,7.679,7.7568,7.9524,8.5036,8.9733,9.4249,9.4928,7.9375,9.1267,7.3429,9.7212
118,8.524,0.594,3493,10,7.6787,7.7361,7.9518,8.4837,8.8701,9.4269,9.5021,7.93,9.118,7.336,9.712
119,8.516,0.593,3495,10,7.6801,7.7364,7.9539,8.4763,8.8267,9.427,9.5138,7.923,9.109,7.3299,9.7021
120,8.5073,0.5915,3495,10,7.6845,7.7425,7.9539,8.4667,8.8061,9.4248,9.5245,7.9158,9.0989,7.3243,9.6904
121,8.4974,0.5884,3497,10,7.69,7.7487,7.9527,8.4585,8.7685,9.4218,9.5273,7.909,9.0859,7.3205,9.6743
122,8.4857,0.584,3497,10,7.6941,7.7534,7.9527,8.4423,8.7273,9.4197,9.5411,7.9017,9.0697,7.3177,9.6537
123,8.4725,0.578,3497,10,7.6992,7.7582,7.9517,8.4287,8.7121,9.4154,9.5414,7.8945,9.0505,7.3165,9.6285
124,8.4582,0.5714,3497,10,7.7053,7.7639,7.9454,8.4152,8.6943,9.4193,9.5414,7.8868,9.0297,7.3154,9.6011
125,8.444,0.5646,3497,10,7.7144,7.7709,7.9448,8.3952,8.6742,9.4153,9.5414,7.8794,9.0086,7.3147,9.5732
126,8.4293,0.5571,3482,10,7.7224,7.7778,7.942,8.3704,8.6376,9.4088,9.5418,7.8722,8.9864,7.3151,9.5435
127,8.4157,0.5488,3461,10,7.7314,7.7841,7.938,8.3589,8.6119,9.3955,9.5418,7.8669,8.9645,7.318,9.5133
128,8.4023,0.5396,3426,10,7.7361,7.7862,7.9279,8.3515,8.5903,9.3798,9.5403,7.8626,8.9419,7.323,9.4816
129,8.3886,0.5286,3434,10,7.7407,7.7871,7.9251,8.3481,8.5692,9.3564,9.5333,7.86,8.9172,7.3314,9.4457
130,8.3744,0.516,3435,10,7.7428,7.7854,7.9213,8.3458,8.5447,9.3234,9.5219,7.8584,8.8904,7.3424,9.4064
131,8.3604,0.5025,3435,10,7.741,7.7839,7.9241,8.3429,8.5146,9.2734,9.4379,7.8578,8.8629,7.3553,9.3655
132,8.3454,0.4877,3436,10,7.7353,7.7802,7.929,8.3398,8.4899,9.1989,9.3927,7.8578,8.8331,7.3701,9.3208
133,8.3304,0.4717,3436,10,7.7322,7.7782,7.9437,8.3335,8.4762,9.1387,9.3634,7.8587,8.8021,7.3871,9.2738
134,8.3159,0.4557,3432,10,7.7285,7.7751,7.9624,8.3272,8.4638,9.0871,9.3236,7.8602,8.7715,7.4045,9.2272
135,8.3024,0.4404,3429,10,7.7057,7.7804,7.9909,8.3192,8.4591,9.0101,9.2538,7.862,8.7429,7.4215,9.1833
136,8.2904,0.4266,3429,10,7.6728,7.7835,8.0005,8.3047,8.4503,8.9526,9.1895,7.8637,8.717,7.4371,9.1437
137,8.2798,0.4149,3429,10,7.6545,7.7833,8.0084,8.2874,8.4443,8.7668,9.1555,7.865,8.6947,7.4501,9.1096
138,8.2706,0.4053,3429,10,7.6409,7.7829,8.0139,8.2727,8.4406,8.6657,9.1345,7.8653,8.6759,7.4599,9.0812
139,8.2628,0.3972,3429,10,7.633,7.7731,8.0139,8.2672,8.4422,8.6598,9.0985,7.8656,8.66,7.4684,9.0571
140,8.2561,0.3898,3429,10,7.633,7.7626,8.0084,8.2554,8.4445,8.6598,9.0819,7.8663,8.6459,7.4765,9.0358
141,8.2506,0.3844,3444,10,7.6338,7.7505,8.0062,8.2549,8.4463,8.6501,9.0528,7.8662,8.635,7.4818,9.0194
142,8.2444,0.3798,3468,10,7.6285,7.7399,7.9969,8.2583,8.4528,8.6468,9.0223,7.8646,8.6242,7.4848,9.004
143,8.2376,0.3757,3501,10,7.6203,7.7226,7.9769,8.2606,8.4644,8.6453,9.0166,7.8619,8.6133,7.4862,8.9889
144,8.2301,0.3722,3479,10,7.615,7.7058,7.9469,8.2552,8.4665,8.6305,8.9896,7.8579,8.6023,7.4857,8.9746
145,8.2221,0.3688,3479,10,7.6153,7.6967,7.9313,8.2501,8.4682,8.6172,8.9488,7.8533,8.5909,7.4845,8.9597
146,8.2135,0.3637,3479,10,7.6203,7.6982,7.9152,8.2429,8.4663,8.6106,8.8495,7.8498,8.5773,7.486,8.941
